usuario,accion,archivo,tamano_bytes,timestamp
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T06:51:30.535973
admin,USER ACCESS INICIO - SERVER MSG - SUCCESS,user_hist.csv,0,2025-09-27T06:51:38.504278
admin,USER ENTERED CHAT - SERVER MSG,chat_access,0,2025-09-27T06:53:56.815099
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T06:58:50.479292
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:00:52.751045
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:02:33.332608
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:05:11.009318
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:07:54.544299
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:13:47.559571
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:15:01.376733
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:18:35.580458
SERVER,SERVER_START_WITH_TRAFFIC_ANALYZER,server_hist.csv,0,2025-09-27T07:27:41.641685
arachne,LOGIN_EXITOSO,server_hist.csv,0,2025-09-27T07:28:12.788586
arachne,USER ACCESS INICIO - SERVER MSG - SUCCESS,user_hist.csv,0,2025-09-27T07:28:12.932091
arachne,USER LISTS FILES FROM SERVER - SUCCESS,file_list,7,2025-09-27T07:28:19.057633
arachne,USER DOWNLOADS FILE - SUCCESS,security_model_20250927_065546.pkl,83908,2025-09-27T07:28:28.917758
arachne,subir,El_cataclismo_de_Damocles_2.docx,0,2025-09-27T07:29:03.843502
arachne,USER LISTS FILES FROM SERVER - SUCCESS,file_list,8,2025-09-27T07:29:04.008992
arachne,USER ACCESS INICIO - SERVER MSG - SUCCESS,user_hist.csv,0,2025-09-27T07:29:05.816246
arachne,USER ENTERED CHAT - SERVER MSG,chat_access,0,2025-09-27T07:29:07.804495
admin,LOGIN_USUARIO_NO_EXISTE,server_hist.csv,-1,2025-09-27T07:48:36.659753
arachne,LOGIN_EXITOSO,server_hist.csv,0,2025-09-27T07:48:58.130435
arachne,USER ACCESS INICIO - SERVER MSG - SUCCESS,user_hist.csv,0,2025-09-27T07:48:58.261592
arachne,USER ENTERED CHAT - SERVER MSG,chat_access,0,2025-09-27T07:49:00.289428
